app,server,guest,dynamic_proxy,preload
com.gamma.scan,41.50999999998817,70.65499999998792,48.02700000004734,2003.976999999992
com.gamma.scan,42.549000000008164,70.74500000004491,48.77399999998033,1968.5779999999795
com.gamma.scan,42.71399999998948,71.21499999999514,49.52400000001944,1968.8649999999939
com.gamma.scan,43.15800000000536,79.92999999999029,49.604999999985466,1988.3069999999634
com.gamma.scan,43.160999999997784,90.7370000000185,49.84999999999218,1991.7189999999891
org.telegram.messenger.web,41.651999999999134,68.3920000000171,49.47799999996505,1976.3489999999706
org.telegram.messenger.web,43.06199999996352,71.48900000004232,49.77400000001353,1995.8439999999769
org.telegram.messenger.web,43.06600000001026,77.39399999996976,49.8590000000263,1973.7400000000207
org.telegram.messenger.web,43.133999999952266,86.19099999998525,49.96099999999615,1981.8639999999732
org.telegram.messenger.web,47.87099999998645,95.19799999998213,50.401999999962754,1969.3790000000035
com.whatsapp,42.06799999997202,72.18800000003966,48.09699999998429,1994.9210000000335
com.whatsapp,42.15199999998731,73.97200000002613,48.131000000012136,1994.6959999999763
com.whatsapp,42.77300000001105,74.84900000002881,48.581000000012864,1980.1350000000184
com.whatsapp,42.98900000003414,75.59299999996938,49.054000000012365,1971.7180000000099
com.whatsapp,43.11400000000276,91.30800000002637,49.07500000001619,1964.8829999999862
com.instagram.android,41.53299999995852,71.45099999991089,49.15800000003401,1973.4300000000076
com.instagram.android,41.552000000024236,76.6720000000305,49.54499999996642,1970.7970000000046
com.instagram.android,42.70899999994526,87.44400000000496,49.87600000004022,1987.455999999952
com.instagram.android,42.75999999993019,88.55400000004465,49.886000000014974,1969.4010000000617
com.instagram.android,47.778999999991356,97.91899999999032,50.188000000048305,1973.6659999999802
com.facebook.orca,42.23000000001775,72.47099999995044,49.11600000002636,1974.988000000053
com.facebook.orca,42.47399999997015,74.29700000000139,49.3420000000242,1979.2260000000397
com.facebook.orca,42.957000000001244,76.61499999994703,49.40299999998388,1971.9390000000203
com.facebook.orca,42.96399999998357,77.91099999997186,49.74699999991117,1957.4079999999867
com.facebook.orca,47.74699999995846,88.75299999999697,49.79000000002998,2010.3940000000193
com.zzkko,41.249999999990905,72.5760000000264,49.426000000039494,1958.174999999983
com.zzkko,42.06099999998969,74.18599999994058,49.53699999998662,1996.94599999998
com.zzkko,42.501000000015665,87.45699999997214,49.84400000000733,1967.0180000000528
com.zzkko,42.62000000005628,92.99699999996847,49.879999999916436,1992.3219999999446
com.zzkko,43.00999999998112,112.9160000000411,49.9369999999999,2001.81299999997
com.disney.disneyplus,42.076000000065505,70.45099999993454,49.521999999910804,1975.6290000000263
com.disney.disneyplus,42.701999999962936,74.76999999994405,49.63199999997414,1962.7910000000384
com.disney.disneyplus,43.28900000007252,76.45899999999983,49.689000000057604,2008.4830000000693
com.disney.disneyplus,45.40100000008351,76.90000000002328,49.79600000001483,2015.555000000063
com.disney.disneyplus,48.887999999919884,93.36499999994885,50.3879999999981,2007.282000000032
com.snapchat.android,42.39900000004582,77.39200000003166,49.49299999998402,1954.8520000000735
com.snapchat.android,42.725000000018554,88.50100000006478,49.75999999999203,1958.0430000000888
com.snapchat.android,42.836999999963155,88.80299999998442,50.02100000001519,1983.0690000000004
com.snapchat.android,43.13600000000406,90.01200000000154,50.25799999998526,2001.361000000088
com.snapchat.android,43.3020000000397,94.05200000003333,50.531999999975596,2006.1190000000124
com.facebook.lite,41.518999999993866,75.06599999999253,48.96500000006654,1970.103999999992
com.facebook.lite,41.93899999995665,76.48699999992914,49.24000000005435,1986.319000000094
com.facebook.lite,42.55399999999554,82.42900000004738,49.64699999993627,1995.7150000000183
com.facebook.lite,42.98200000005181,85.22500000003674,49.72099999997681,1952.2329999999783
com.facebook.lite,47.30500000005122,93.291000000022,49.765999999976884,1946.2480000000824
com.ubercab,42.558999999982916,68.83400000003803,48.10900000006768,1972.8599999999687
